unix,low,high,open,close,volume,date,vol_fiat
1606780800,103.02,117.95,112.12,105.05,36967.445,2020-12-01,3883430.0972499996
1606694400,109.29,114.99,110.81,112.09,18464.809,2020-11-30,2069720.4408100003
1606608000,106.0,111.68,108.15,110.8,13299.112,2020-11-29,1473541.6095999999
1606521600,102.11,109.88,104.56,108.27,22646.926,2020-11-28,2451982.67802
1606435200,99.9,110.1,107.0,104.52,35141.657,2020-11-27,3673005.98964
1606348800,96.94,125.72,122.67,106.89,68154.301,2020-11-26,7285013.233890001
1606262400,118.99,139.8,127.74,122.6,55747.779,2020-11-25,6834677.7054
1606176000,121.5,133.53,125.69,127.78,59604.865,2020-11-24,7616309.6497
1606089600,115.61,129.63,117.07,125.72,39187.718,2020-11-23,4926679.90696
1606003200,112.72,129.15,127.5,116.98,47869.647,2020-11-22,5599791.30606
1605916800,112.96,128.45,116.19,127.49,50905.12,2020-11-21,6489893.7488
1605830400,113.27,124.55,113.47,116.23,33550.086,2020-11-20,3899526.4957800005
1605744000,108.74,118.63,114.26,113.46,31248.092,2020-11-19,3545408.51832
1605657600,107.15,126.23,122.74,114.41,50383.523,2020-11-18,5764378.86643
1605571200,118.27,127.77,120.31,122.74,33371.282,2020-11-17,4095991.15268
1605484800,114.54,124.94,120.29,120.12,26225.421,2020-11-16,3150197.57052
1605398400,113.13,130.57,121.64,120.11,57761.324,2020-11-15,6937712.62564
1605312000,107.44,124.57,116.64,121.63,71634.729,2020-11-14,8712932.088270001
1605225600,103.39,117.99,104.28,116.7,31700.204,2020-11-13,3699413.8068000004
1605139200,99.47,108.53,103.22,104.4,21917.599,2020-11-12,2288197.3356
1605052800,101.84,115.0,102.59,103.11,40731.258,2020-11-11,4199800.01238
1604966400,94.07,105.5,94.91,102.59,25411.986,2020-11-10,2607015.64374
1604880000,93.17,100.4,97.09,94.9,21491.061,2020-11-09,2039501.6889000002
1604793600,91.25,101.07,92.52,97.1,27650.277,2020-11-08,2684841.8966999995
1604707200,89.03,111.89,95.84,92.56,84330.286,2020-11-07,7805611.272159999
1604620800,88.7,100.17,90.93,95.73,32667.302,2020-11-06,3127240.82046
1604534400,83.3,93.7,88.76,90.93,25512.041,2020-11-05,2319809.8881300003
1604448000,81.37,89.01,87.65,88.86,20898.123,2020-11-04,1857007.20978
1604361600,80.75,91.1,90.99,87.54,51886.887,2020-11-03,4542178.08798
1604275200,90.33,99.12,94.04,91.17,17142.519,2020-11-02,1562883.45723
1604188800,89.5,96.21,90.88,94.0,12145.021,2020-11-01,1141631.9740000002
1604102400,89.02,95.16,92.18,90.88,25046.56,2020-10-31,2276231.3728
1604016000,88.44,98.96,96.95,92.23,40246.592,2020-10-30,3711943.18016
1603929600,94.19,111.79,107.59,96.91,38333.277,2020-10-29,3714877.87407
1603843200,104.75,120.37,109.96,107.7,56995.761,2020-10-28,6138443.4597000005
1603756800,99.67,113.82,100.18,109.96,49030.761,2020-10-27,5391422.47956
1603670400,97.94,104.57,101.18,100.18,20719.168,2020-10-26,2075646.2502400002
1603584000,101.17,105.56,105.16,101.17,13373.87,2020-10-25,1353034.4279
1603497600,101.1,107.86,103.18,105.17,12236.944,2020-10-24,1286959.40048
1603411200,99.53,106.52,102.51,103.18,30386.31,2020-10-23,3135259.4658000004
1603324800,95.44,103.02,95.47,102.51,32400.283,2020-10-22,3321353.01033
1603238400,92.71,100.0,95.06,95.48,41187.091,2020-10-21,3932543.4486800004
1603152000,92.83,102.98,102.98,94.81,30959.283,2020-10-20,2935249.62123
1603065600,101.53,105.91,104.91,102.98,12394.172,2020-10-19,1276351.83256
1602979200,102.64,107.95,103.09,104.91,17809.47,2020-10-18,1868391.4977
1602892800,101.56,105.9,103.55,103.09,11657.263,2020-10-17,1201747.24267
1602806400,99.54,107.14,106.68,103.55,20633.434,2020-10-16,2136592.0907
1602720000,104.68,109.81,107.25,106.88,9927.67,2020-10-15,1061069.3695999999
1602633600,105.5,115.43,113.99,107.2,13028.691,2020-10-14,1396675.6752000002
1602547200,111.76,119.09,116.81,114.0,10936.884,2020-10-13,1246804.776
1602460800,112.28,120.78,115.77,116.7,22714.521,2020-10-12,2650784.6007000003
1602374400,111.25,117.06,113.93,115.77,16919.734,2020-10-11,1958797.60518
1602288000,112.83,119.73,115.46,113.75,30683.54,2020-10-10,3490252.6750000003
1602201600,103.54,117.78,108.11,115.58,46634.133,2020-10-09,5389973.09214
1602115200,102.2,114.19,110.43,108.42,36441.486,2020-10-08,3950985.9121199995
