unix,low,high,open,close,volume,date,vol_fiat
1609632000,0.3982,0.4373,0.4078,0.4258,67649218,2021-01-03,28805037.0244
1609545600,0.3819,0.4647,0.3987,0.4082,109087044,2021-01-02,44529331.3608
1609459200,0.3316,0.4349,0.3363,0.3991,112651562,2021-01-01,44959238.394200005
1609372800,0.3161,0.3369,0.3353,0.3363,18775885,2020-12-31,6314330.1255
1609286400,0.3272,0.359,0.3464,0.3355,24078258,2020-12-30,8078255.559
1609200000,0.3192,0.3631,0.3576,0.3462,42308747,2020-12-29,14647288.2114
1609113600,0.3149,0.358,0.319,0.3576,25311804,2020-12-28,9051501.110399999
1609027200,0.3003,0.3372,0.309,0.3185,31563234,2020-12-27,10052890.029000001
1608940800,0.3,0.3219,0.3088,0.3093,17503446,2020-12-26,5413815.847800001
1608854400,0.302,0.3288,0.3141,0.3088,16297631,2020-12-25,5032708.4528
1608768000,0.2805,0.3148,0.289,0.3141,27952979,2020-12-24,8780030.7039
1608681600,0.265,0.3513,0.3368,0.2891,42165162,2020-12-23,12189948.3342
1608595200,0.3167,0.3485,0.325,0.3366,30745103,2020-12-22,10348801.6698
1608508800,0.3123,0.3675,0.3397,0.3248,30265543,2020-12-21,9830248.3664
1608422400,0.3285,0.3582,0.3561,0.3396,35858165,2020-12-20,12177432.834
1608336000,0.3507,0.387,0.3535,0.3561,52355532,2020-12-19,18643804.9452
1608249600,0.3158,0.3714,0.3327,0.3537,46060988,2020-12-18,16291771.4556
1608163200,0.3241,0.3587,0.3401,0.3322,25137939,2020-12-17,8350823.3358
1608076800,0.3177,0.3452,0.3253,0.3402,20504981,2020-12-16,6975794.5362
1607990400,0.3131,0.3405,0.3131,0.3249,18673366,2020-12-15,6066976.6134
1607904000,0.303,0.3188,0.3087,0.3131,10544951,2020-12-14,3301624.1581
1607817600,0.3048,0.32,0.3095,0.3092,10934968,2020-12-13,3381092.1056
1607731200,0.2882,0.3181,0.2886,0.3091,22395053,2020-12-12,6922310.8823
1607644800,0.2762,0.2958,0.2945,0.2883,15755985,2020-12-11,4542450.4755
1607558400,0.2901,0.3076,0.3053,0.2944,9992196,2020-12-10,2941702.5024
1607472000,0.2855,0.3086,0.3007,0.3057,18116584,2020-12-09,5538239.728800001
1607385600,0.2925,0.3326,0.3311,0.3011,32548892,2020-12-08,9800471.381199999
1607299200,0.3228,0.3439,0.3369,0.3312,8377529,2020-12-07,2774637.6048
1607212800,0.328,0.3495,0.3436,0.3368,17755738,2020-12-06,5980132.5583999995
1607126400,0.3177,0.3516,0.3257,0.3433,18415691,2020-12-05,6322106.7203
1607040000,0.3216,0.3738,0.3407,0.3255,39390730,2020-12-04,12821682.615
1606953600,0.3376,0.3577,0.3412,0.3407,21969423,2020-12-03,7484982.4161
1606867200,0.2994,0.3496,0.3078,0.3416,27195489,2020-12-02,9289979.0424
1606780800,0.3034,0.3474,0.3289,0.3081,27877603,2020-12-01,8589089.484299999
1606694400,0.3126,0.3353,0.3175,0.3294,28405999,2020-11-30,9356936.070600001
1606608000,0.3007,0.3239,0.313,0.3175,13819462,2020-11-29,4387679.1850000005
1606521600,0.2953,0.3249,0.3006,0.313,20256330,2020-11-28,6340231.29
1606435200,0.2851,0.3189,0.3019,0.3003,20513464,2020-11-27,6160193.239200001
1606348800,0.2753,0.3579,0.3421,0.3014,56380925,2020-11-26,16993210.795
1606262400,0.33,0.4242,0.3584,0.3424,71271276,2020-11-25,24403284.9024
1606176000,0.3264,0.376,0.3364,0.3584,70140736,2020-11-24,25138439.7824
1606089600,0.2925,0.3425,0.2982,0.3361,42782494,2020-11-23,14379196.2334
1606003200,0.28,0.3247,0.3174,0.2982,33864025,2020-11-22,10098252.255
1605916800,0.2839,0.3265,0.2846,0.3177,37710551,2020-11-21,11980642.0527
1605830400,0.2641,0.2891,0.2658,0.2843,18647299,2020-11-20,5301427.1057
1605744000,0.255,0.272,0.2673,0.2655,17159016,2020-11-19,4555718.748000001
1605657600,0.2543,0.279,0.2747,0.2673,25337245,2020-11-18,6772645.5885
1605571200,0.2683,0.2792,0.2713,0.2747,16010581,2020-11-17,4398106.6007
1605484800,0.2542,0.2737,0.2569,0.2713,14205882,2020-11-16,3854055.7865999998
1605398400,0.2496,0.2727,0.2659,0.2572,14215824,2020-11-15,3656309.9327999996
1605312000,0.2628,0.281,0.2807,0.2659,11190961,2020-11-14,2975676.5299000004
1605225600,0.263,0.2825,0.2667,0.2807,12915557,2020-11-13,3625396.8499000003
1605139200,0.2607,0.2788,0.2787,0.2667,10679611,2020-11-12,2848252.2537
1605052800,0.2768,0.2952,0.2892,0.2785,17219295,2020-11-11,4795573.657500001
1604966400,0.2562,0.2939,0.2604,0.2896,23133865,2020-11-10,6699567.3040000005
1604880000,0.253,0.273,0.2663,0.2605,14237058,2020-11-09,3708753.609
1604793600,0.2542,0.2763,0.2583,0.2663,11893990,2020-11-08,3167369.5369999995
1604707200,0.2417,0.2979,0.2768,0.2583,29984641,2020-11-07,7745032.770299999
1604620800,0.248,0.2826,0.2481,0.2767,16955973,2020-11-06,4691717.7291
1604534400,0.234,0.2558,0.2389,0.248,14855633,2020-11-05,3684196.984
1604448000,0.2225,0.2447,0.2338,0.2388,12528375,2020-11-04,2991775.95
1604361600,0.2257,0.2473,0.2473,0.2338,14395267,2020-11-03,3365613.4246
1604275200,0.2435,0.2624,0.2591,0.2471,7501341,2020-11-02,1853581.3610999999
1604188800,0.2443,0.262,0.2488,0.2593,7658678,2020-11-01,1985895.2053999999
